"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMUNIDADES","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"7040","4.11838097","0.00973926","0.24281387","0.08539244","4","129","21","false","GNAS","48.20155039","129","0","0","0.90255059","false","0","GNAS","495322224","0.04667753"
"7045","3.72421297","0.0036662","0.26851311","0.29618321","4","131","20","false","GNG12","104.65648855","131","0","0","0.91486834","false","0","GNG12","235787242","0.06531911"
"7051","3.72958073","0.00126","0.26812665","0.36619511","4","117","20","false","GNB5","115.07692308","117","0","0","0.9147006","false","0","GNB5","208926708","0.07260374"
"7053","3.66357174","0.01205426","0.27295767","0.03251682","1","528","20","false","GNB1","33.2405303","528","0","0","0.91676338","false","0","GNB1","411007508","0.02086662"
"7055","3.72958073","0.00126","0.26812665","0.36619511","4","117","20","false","GNB2","115.07692308","117","0","0","0.9147006","false","0","GNB2","208926708","0.07260374"
"7058","3.72958073","0.00126","0.26812665","0.36619511","4","117","20","false","GNG3","115.07692308","117","0","0","0.9147006","false","0","GNG3","208926708","0.07260374"
"7060","3.72958073","0.00126","0.26812665","0.36619511","4","117","20","false","GNG4","115.07692308","117","0","0","0.9147006","false","0","GNG4","208926708","0.07260374"
"7062","3.72958073","0.00126","0.26812665","0.36619511","4","117","20","false","GNG5","115.07692308","117","0","0","0.9147006","false","0","GNG5","208926708","0.07260374"
"7064","3.67039025","0.01014882","0.27245059","0.03298644","1","524","20","false","GNG7","33.46183206","524","0","0","0.9165503","false","0","GNG7","390031126","0.02109825"
"7066","3.72958073","0.00126","0.26812665","0.36619511","4","117","20","false","GNG10","115.07692308","117","0","0","0.9147006","false","0","GNG10","208926708","0.07260374"
"7068","3.72958073","0.00126","0.26812665","0.36619511","4","117","20","false","GNG11","115.07692308","117","0","0","0.9147006","false","0","GNG11","208926708","0.07260374"
"7070","3.72276222","0.00271985","0.26861775","0.34283747","4","121","20","false","GNGT1","111.41322314","121","0","0","0.91491368","false","0","GNGT1","228187992","0.06998318"
"7072","3.72958073","0.00126","0.26812665","0.36619511","4","117","20","false","GNGT2","115.07692308","117","0","0","0.9147006","false","0","GNGT2","208926708","0.07260374"
"7075","3.72958073","0.00126","0.26812665","0.36619511","4","117","20","false","GNG2","115.07692308","117","0","0","0.9147006","false","0","GNG2","208926708","0.07260374"
"7077","3.72958073","0.00126","0.26812665","0.36619511","4","117","20","false","GNB4","115.07692308","117","0","0","0.9147006","false","0","GNB4","208926708","0.07260374"
